Tags,Words,C,AUC
20,50,0.01,0.9250
20,50,0.5,0.9252
20,50,0.1,0.9252
20,50,1.0,0.9252
20,50,5.0,0.9252
20,50,10.0,0.9252
20,75,0.01,0.9250
20,75,0.5,0.9252
20,75,0.1,0.9252
20,75,1.0,0.9252
20,75,5.0,0.9252
20,75,10.0,0.9252
20,100,0.01,0.9250
20,100,0.1,0.9252
20,100,0.5,0.9252
20,100,5.0,0.9252
20,100,1.0,0.9252
20,150,0.01,0.9250
20,100,10.0,0.9252
20,150,0.1,0.9252
20,150,0.5,0.9252
20,150,10.0,0.9252
20,150,1.0,0.9252
20,150,5.0,0.9252
20,200,0.01,0.9250
20,200,0.1,0.9252
20,200,0.5,0.9252
20,200,1.0,0.9252
20,200,5.0,0.9252
20,200,10.0,0.9252
20,225,0.01,0.9250
20,225,0.1,0.9252
20,225,0.5,0.9252
20,225,1.0,0.9252
20,225,5.0,0.9252
20,225,10.0,0.9252
20,250,0.1,0.9252
20,250,0.01,0.9250
20,250,1.0,0.9252
20,250,0.5,0.9252
20,250,5.0,0.9252
20,250,10.0,0.9252
20,275,0.01,0.9250
20,275,0.1,0.9252
20,275,0.5,0.9252
20,275,1.0,0.9252
20,275,5.0,0.9252
20,275,10.0,0.9252
20,300,0.01,0.9250
20,300,0.5,0.9252
20,300,0.1,0.9252
20,300,1.0,0.9252
20,300,5.0,0.9252
20,300,10.0,0.9252
20,325,0.1,0.9252
20,325,0.01,0.9250
20,325,0.5,0.9252
20,325,1.0,0.9252
20,325,5.0,0.9252
20,325,10.0,0.9252
20,350,0.01,0.9250
20,350,0.1,0.9252
20,350,1.0,0.9252
20,350,0.5,0.9252
20,350,10.0,0.9252
20,350,5.0,0.9252
20,400,0.01,0.9250
20,400,0.1,0.9252
20,400,0.5,0.9252
20,400,1.0,0.9252
20,400,10.0,0.9252
20,400,5.0,0.9252
20,450,0.01,0.9250
20,450,0.1,0.9252
20,450,0.5,0.9252
20,450,1.0,0.9252
20,450,5.0,0.9252
20,500,0.01,0.9250
20,500,0.1,0.9252
20,450,10.0,0.9252
20,500,1.0,0.9252
20,500,0.5,0.9252
20,500,10.0,0.9252
20,500,5.0,0.9252
20,550,0.01,0.9250
20,550,0.1,0.9252
20,550,0.5,0.9252
20,550,1.0,0.9252
20,550,5.0,0.9252
20,550,10.0,0.9252
20,600,0.01,0.9250
20,600,0.1,0.9252
20,600,0.5,0.9252
20,600,1.0,0.9252
20,600,5.0,0.9252
20,600,10.0,0.9252
25,50,0.01,0.9251
25,50,5.0,0.9253
25,50,0.1,0.9253
25,50,0.5,0.9253
25,50,1.0,0.9253
25,50,10.0,0.9253
25,75,0.01,0.9251
25,75,0.1,0.9253
25,75,0.5,0.9254
25,75,1.0,0.9254
25,75,5.0,0.9254
25,75,10.0,0.9254
25,100,0.01,0.9251
25,100,0.1,0.9253
25,100,0.5,0.9254
25,100,1.0,0.9254
25,100,10.0,0.9254
25,150,0.01,0.9251
25,150,0.1,0.9253
25,100,5.0,0.9254
25,150,0.5,0.9254
25,150,1.0,0.9254
25,150,5.0,0.9254
25,150,10.0,0.9254
25,200,0.01,0.9251
25,200,0.5,0.9254
25,200,0.1,0.9254
25,200,5.0,0.9254
25,200,1.0,0.9254
25,200,10.0,0.9254
25,225,0.01,0.9251
25,225,0.5,0.9254
25,225,0.1,0.9254
25,225,1.0,0.9254
25,225,5.0,0.9254
25,225,10.0,0.9254
25,250,0.01,0.9251
25,250,0.1,0.9254
25,250,0.5,0.9254
25,250,1.0,0.9254
25,250,5.0,0.9254
25,250,10.0,0.9254
25,275,0.01,0.9252
25,275,0.1,0.9254
25,275,0.5,0.9254
25,275,1.0,0.9254
25,275,10.0,0.9254
25,275,5.0,0.9254
25,300,0.01,0.9252
25,300,0.1,0.9254
25,300,0.5,0.9254
25,300,1.0,0.9254
25,300,5.0,0.9254
25,300,10.0,0.9254
25,325,0.01,0.9252
25,325,0.1,0.9254
25,325,0.5,0.9254
25,325,1.0,0.9254
25,325,5.0,0.9254
25,325,10.0,0.9254
25,350,0.1,0.9254
25,350,0.01,0.9252
25,350,0.5,0.9254
25,350,1.0,0.9254
25,350,10.0,0.9254
25,350,5.0,0.9254
25,400,0.01,0.9252
25,400,0.5,0.9254
25,400,0.1,0.9254
25,400,1.0,0.9254
25,400,5.0,0.9254
25,400,10.0,0.9254
25,450,0.01,0.9252
25,450,0.5,0.9254
25,450,0.1,0.9254
25,450,5.0,0.9254
25,450,1.0,0.9254
25,450,10.0,0.9254
25,500,0.01,0.9252
25,500,0.1,0.9254
25,500,0.5,0.9254
25,500,5.0,0.9254
25,500,1.0,0.9254
25,500,10.0,0.9254
25,550,0.01,0.9252
25,550,0.1,0.9254
25,550,0.5,0.9254
25,550,1.0,0.9254
25,550,5.0,0.9254
25,600,0.1,0.9254
25,550,10.0,0.9254
25,600,0.5,0.9254
25,600,0.01,0.9252
25,600,5.0,0.9254
25,600,1.0,0.9254
25,600,10.0,0.9254
30,50,0.01,0.9256
30,50,0.1,0.9258
30,50,1.0,0.9258
30,50,5.0,0.9258
30,50,0.5,0.9258
30,50,10.0,0.9258
30,75,0.01,0.9256
30,75,0.1,0.9258
30,75,0.5,0.9258
30,75,1.0,0.9258
30,75,10.0,0.9258
30,100,0.01,0.9256
30,75,5.0,0.9258
30,100,0.1,0.9258
30,100,0.5,0.9258
30,100,1.0,0.9258
30,100,5.0,0.9258
30,100,10.0,0.9258
30,150,0.01,0.9256
30,150,0.5,0.9258
30,150,0.1,0.9258
30,150,1.0,0.9258
30,150,5.0,0.9258
30,150,10.0,0.9258
30,200,0.1,0.9258
30,200,0.01,0.9256
30,200,0.5,0.9258
30,200,5.0,0.9258
30,200,10.0,0.9258
30,200,1.0,0.9258
30,225,0.01,0.9256
30,225,0.1,0.9258
30,225,0.5,0.9258
30,225,5.0,0.9258
30,225,1.0,0.9258
30,250,0.01,0.9256
30,225,10.0,0.9258
30,250,0.1,0.9258
30,250,0.5,0.9258
30,250,1.0,0.9258
30,250,5.0,0.9258
30,250,10.0,0.9258
30,275,0.01,0.9256
30,275,0.5,0.9258
30,275,0.1,0.9258
30,275,1.0,0.9258
30,275,5.0,0.9258
30,275,10.0,0.9258
30,300,0.01,0.9256
30,300,0.5,0.9258
30,300,0.1,0.9258
30,300,1.0,0.9258
30,300,5.0,0.9258
30,300,10.0,0.9258
30,325,0.1,0.9258
30,325,0.01,0.9256
30,325,0.5,0.9258
30,325,1.0,0.9258
30,325,5.0,0.9258
30,325,10.0,0.9258
30,350,0.01,0.9256
30,350,0.1,0.9258
30,350,0.5,0.9258
30,350,1.0,0.9258
30,350,5.0,0.9258
30,350,10.0,0.9258
30,400,0.01,0.9256
30,400,0.1,0.9258
30,400,0.5,0.9258
30,400,1.0,0.9258
30,400,5.0,0.9258
30,400,10.0,0.9258
30,450,0.01,0.9256
30,450,1.0,0.9258
30,450,0.1,0.9258
30,450,0.5,0.9258
30,450,5.0,0.9258
30,450,10.0,0.9258
30,500,0.01,0.9256
30,500,0.1,0.9258
30,500,0.5,0.9258
30,500,1.0,0.9258
30,500,5.0,0.9258
30,500,10.0,0.9258
30,550,0.01,0.9256
30,550,0.1,0.9258
30,550,1.0,0.9258
30,550,0.5,0.9258
30,550,5.0,0.9258
30,550,10.0,0.9258
30,600,0.1,0.9258
30,600,0.01,0.9256
30,600,0.5,0.9258
30,600,1.0,0.9258
30,600,5.0,0.9258
40,50,0.01,0.9260
30,600,10.0,0.9258
40,50,0.1,0.9262
40,50,0.5,0.9262
40,50,1.0,0.9262
40,50,5.0,0.9262
40,50,10.0,0.9262
40,75,0.01,0.9260
40,75,0.1,0.9262
40,75,0.5,0.9262
40,75,1.0,0.9263
40,75,5.0,0.9263
40,75,10.0,0.9263
40,100,0.01,0.9260
40,100,0.1,0.9262
40,100,0.5,0.9263
40,100,1.0,0.9263
40,100,5.0,0.9263
40,100,10.0,0.9263
40,150,0.01,0.9260
40,150,0.1,0.9262
40,150,0.5,0.9262
40,150,1.0,0.9262
40,150,5.0,0.9262
40,200,0.01,0.9260
40,150,10.0,0.9262
40,200,0.1,0.9262
40,200,0.5,0.9263
40,200,1.0,0.9263
40,200,5.0,0.9263
40,200,10.0,0.9263
40,225,0.01,0.9260
40,225,0.1,0.9262
40,225,0.5,0.9263
40,225,1.0,0.9263
40,225,5.0,0.9263
40,250,0.01,0.9260
40,225,10.0,0.9263
40,250,1.0,0.9263
40,250,0.1,0.9262
40,250,0.5,0.9263
40,250,5.0,0.9263
40,250,10.0,0.9263
40,275,0.01,0.9260
40,275,0.1,0.9262
40,275,1.0,0.9263
40,275,0.5,0.9263
40,275,5.0,0.9263
40,275,10.0,0.9263
40,300,0.01,0.9260
40,300,0.1,0.9262
40,300,10.0,0.9263
40,300,0.5,0.9263
40,300,1.0,0.9263
40,325,0.01,0.9260
40,300,5.0,0.9263
40,325,0.5,0.9263
40,325,0.1,0.9262
40,325,1.0,0.9263
40,325,5.0,0.9263
40,325,10.0,0.9263
40,350,0.01,0.9260
40,350,0.1,0.9262
40,350,0.5,0.9263
40,350,1.0,0.9263
40,350,5.0,0.9263
40,400,0.01,0.9260
40,350,10.0,0.9263
40,400,0.1,0.9262
40,400,1.0,0.9263
40,400,0.5,0.9263
40,400,5.0,0.9263
40,400,10.0,0.9263
40,450,0.1,0.9262
40,450,0.01,0.9260
40,450,0.5,0.9263
40,450,1.0,0.9263
40,450,5.0,0.9263
40,450,10.0,0.9263
40,500,0.01,0.9260
40,500,0.1,0.9262
40,500,1.0,0.9263
40,500,0.5,0.9263
40,500,5.0,0.9263
40,500,10.0,0.9263
40,550,0.01,0.9260
40,550,0.1,0.9262
40,550,5.0,0.9263
40,550,1.0,0.9263
40,550,0.5,0.9263
40,550,10.0,0.9263
40,600,0.01,0.9260
40,600,0.1,0.9262
40,600,0.5,0.9263
40,600,1.0,0.9263
40,600,5.0,0.9263
40,600,10.0,0.9263
