Tags,Words,C,AUC
7,150,5.0,0.9281
7,150,10.0,0.9281
7,200,0.01,0.9279
7,200,0.1,0.9281
7,200,0.5,0.9282
7,200,1.0,0.9282
7,200,5.0,0.9282
7,225,0.01,0.9279
7,200,10.0,0.9282
7,225,0.1,0.9281
7,225,0.5,0.9282
7,225,5.0,0.9282
7,225,1.0,0.9282
7,225,10.0,0.9282
7,250,0.01,0.9279
7,250,0.1,0.9281
7,250,1.0,0.9282
7,250,0.5,0.9282
7,250,5.0,0.9282
7,250,10.0,0.9282
7,275,0.1,0.9282
7,275,0.01,0.9279
7,275,5.0,0.9282
7,275,1.0,0.9282
7,275,0.5,0.9282
7,275,10.0,0.9282
7,300,0.1,0.9282
7,300,0.01,0.9279
7,300,0.5,0.9282
7,300,5.0,0.9282
7,300,1.0,0.9282
7,325,0.01,0.9279
7,300,10.0,0.9282
7,325,0.1,0.9282
7,325,0.5,0.9282
7,325,5.0,0.9282
7,325,1.0,0.9282
7,325,10.0,0.9282
7,350,0.01,0.9279
7,350,0.1,0.9282
7,350,0.5,0.9282
7,350,1.0,0.9282
7,400,0.01,0.9279
7,350,10.0,0.9282
7,350,5.0,0.9282
7,400,0.1,0.9282
7,400,0.5,0.9282
7,400,1.0,0.9282
7,400,10.0,0.9282
7,400,5.0,0.9282
7,450,0.01,0.9279
7,450,0.1,0.9282
7,450,1.0,0.9282
7,450,0.5,0.9282
7,450,5.0,0.9282
7,500,0.01,0.9279
7,450,10.0,0.9282
7,500,0.1,0.9282
7,500,0.5,0.9282
7,500,1.0,0.9282
7,500,5.0,0.9282
7,500,10.0,0.9282
7,550,0.01,0.9279
7,550,0.1,0.9282
7,550,0.5,0.9282
7,550,1.0,0.9282
7,550,5.0,0.9282
7,550,10.0,0.9282
7,600,0.01,0.9279
7,600,0.5,0.9282
7,600,0.1,0.9282
7,600,1.0,0.9282
7,600,5.0,0.9282
7,600,10.0,0.9282
8,50,0.01,0.9252
8,50,0.1,0.9254
8,50,1.0,0.9254
8,50,5.0,0.9254
8,50,0.5,0.9254
8,50,10.0,0.9254
8,75,0.01,0.9252
8,75,0.1,0.9254
8,75,0.5,0.9255
8,75,1.0,0.9255
8,75,5.0,0.9255
8,75,10.0,0.9255
8,100,0.01,0.9252
8,100,0.1,0.9254
8,100,0.5,0.9255
8,100,1.0,0.9255
8,100,5.0,0.9255
8,150,0.1,0.9254
8,100,10.0,0.9255
8,150,0.01,0.9252
8,150,0.5,0.9255
8,150,1.0,0.9255
8,150,5.0,0.9255
8,150,10.0,0.9255
8,200,0.01,0.9252
8,200,0.1,0.9255
8,200,0.5,0.9255
8,200,1.0,0.9255
8,200,5.0,0.9255
8,200,10.0,0.9255
8,225,0.01,0.9252
8,225,0.1,0.9255
8,225,0.5,0.9255
8,225,1.0,0.9255
8,225,5.0,0.9255
8,250,0.01,0.9252
8,225,10.0,0.9255
8,250,0.1,0.9255
8,250,0.5,0.9255
8,250,1.0,0.9255
